Chicago Citation,Abstract,First Author Institution,Other Author Institutions
"Thorisdottir, Hulda, John T. Jost. ""Motivated Closed-Mindedness Mediates the Effect of Threat on Political Conservatism"". Political Psychology 32, no. 5 (2011)","In this article we synthesize theory and research from several areas of psychology and political science to propose and test a causal model of the effects of threat on political attitudes. Based in part on prior research showing that fear, threat, and anxiety decrease cognitive capacity and motivation, we hypothesize that under high (vs. low) threat, people will seek to curtail open-ended information searches and exhibit motivated closedmindedness (one aspect of the need for cognitive closure). The subjective desire for certainty, control, and closure, in turn, is expected to increase the individual's affinity for political conservatism, insofar as resistance to change and adherence to authority figures and conventional forms of morality are assumed to satisfy these epistemic motives more successfully than their ideological opposites. Consistent with this account, we find in Studies la and lb that putting people into a highly threatened mindset leads them to exhibit an increase in motivated closed-mindedness and to perceive the world as more dangerous. Furthermore, in Study 2 we demonstrate that a subtle threat manipulation increases selfreported conservatism (or decreases self-reported liberalism), and this effect is mediated by closed-mindedness. In Study 3, we manipulated closed-mindedness directly and found that high (vs. low) cognitive load results in a greater affinity for the Republican (vs. Democratic) party. Finally, in Study 4 we conducted an experiment involving political elites in Iceland and found that three different types of threat (to the self, group, and system) all led center-right politicians to score higher on closed-mindedness and issue-based political conservatism. Implications for society and for the theory of ideology as motivated social cognition are discussed.",University of Iceland,['New York University']
"Nelson, Thomas E., Gregory Gwiasda, Joseph Lyons. ""Vilification and Values"". Political Psychology 32, no. 5 (2011)","Social values are an important foundation of political attitudes, yet political controversies often embody conflicts between values, placing the citizen in an awkward position of having to prioritize competing values. One strategy is to consider the groups that are symbolically associated with the competing values. Groups held in high esteem will enhance associated values; groups held in disregard will diminish associated values. Persuasive communicators exploit this process by assailing groups that have been publicly associated with certain issue positions or values as ""extreme ""or ""radical. ""Even if the group represents a consensus value like equal opportunity, the extremist label suggests the group's agenda embodies an excessive and uncompromising imposition of this value. This article reports on four experiments that investigated how the extremist label can undermine support for a group's position. We further examine how reputation affects judgments of value priorities.",The Ohio State University,['Ipsos Marketing']
"Wright, Matthew. ""Diversity and the Imagined Community: Immigrant Diversity and Conceptions of National Identity"". Political Psychology 32, no. 5 (2011)","As immigrant diversity increases across most developed democracies, there is an increasing concern that perceived threats to mainstream interests (both cultural and economic) will produce an ethnocentric response. This study approaches the question using survey measures that explicitly tap respondents 1 normative conception of membership in the national community. Based on cross-sectional and over-time analysis of the ISSP's ""National Identity Module, ""it shows that more immigrant-exclusive definitions of the national ingroup are linked to both contextual and individual measures of cultural threat. Perceived economic threat at the individual level is also powerfully linked to this outcome, but contextual measures of economic prosperity are not. This finding lends weight to the argument that increasing levels of immigrant diversity are a threat to an inclusive sense of national identity that includes both natives and immigrants.","John F. Kennedy School of Government, Harvard University",[]
"Thornton, Judd R.. ""Ambivalent or Indifferent? Examining the Validity of an Objective Measure of Partisan Ambivalence"". Political Psychology 32, no. 5 (2011)","This article examines the validity of an objective measure of partisan ambivalence. More generally, it draws attention to the idea that measurement is an active step taken by the researcher and therefore should be subjected to empirical examination. It is also argued that treating a variable at a higher level of measurement than warranted will cause a valid measure to cease to be so, and that the appropriate level of a variable is determined not by the underlying concept or the measurement procedure, but by the researcher. I demonstrate the measure examined can distinguish between various attitudinal states, but only at the nominal level. This is largely driven by individuals who offer no responses to open-ended questions, who are termed indifferent. Furthermore, different coding schemes result in different conclusions. For example, the finding that indifferent individuals are less likely to rely on partisanship than ambivalent individuals when evaluating candidates is obscured when treating the measure as interval The findings suggest the measure should be coded to account for indifferent individuals, and that even well developed measures of clearly defined concepts need to be subjected to empirical examination.",Georgia State University,[]
"Fournier, Patrick, Mathieu Turgeon, Andre Blais, Joanna Everitt, Elisabeth Gidengil, Neil Nevitte. ""Deliberation from Within: Changing One's Mind During an Interview"". Political Psychology 32, no. 5 (2011)","This article examines whether a public opinion survey can improve the quality of political attitudes. More specifically, we argue that simply positioning a summary attitudinal question after a balanced series of relevant items can increase people's ability to answer in a way that better reflects their underlying interests, values, and predispositions. By manipulating the location of the vote preference question in two separate national election campaign surveys, we find that there are fewer undecided respondents when the question is asked at the end of the survey rather than early on, that some people are changing their mind during the questionnaire, that a larger set of determinants is structuring late-survey vote choice, and that voting preferences based on the later question are a better predictor of the actual vote. The findings carry important lessons for students of deliberation and of citizen decision making.",Universite de Montreal,"['Universidade de Brasilia', 'University of New Brunswick', 'McGill University', 'University of Toronto']"
"Piurko, Yuval, Shalom H. Schwartz, Eldad Davidov. ""Basic Personal Values and the Meaning of Left-Right Political Orientations in 20 Countries"". Political Psychology 32, no. 4 (2011)","This study used basic personal values to elucidate the motivational meanings of ""left"" and ""right"" political orientations in 20 representative national samples from the European Social Survey (2002-2003). It also compared the importance of personal values and sociodemographic variables as determinants of political orientation. Hypotheses drew on the different histories, prevailing culture, and socioeconomic level of three sets of countries—liberal, traditional, and postcommunist. As hypothesized, universalism and benevolence values explained a left orientation in both liberal and traditional countries and conformity and tradition values explained a right orientation; values had little explanatory power in postcommunist countries. Values predicted political orientation more strongly than sociodemographic variables in liberal countries, more weakly in postcommunist countries, and about equally in traditional countries.",The Hebrew University of Jerusalem,"['University of Zurich, Switerland']"
"Fausey, Caitlin M., Teenie Matlock. ""Can Grammar Win Elections?"". Political Psychology 32, no. 4 (2011)","The wording of political messages is known to affect voting behavior, including judgments about whether or not candidates will be elected. Yet the question remains whether voting behavior can be influenced by fine-grained grammatical details of political messages. In this paper, two studies examined how subtly different grammatical forms in descriptions of political candidates' past actions can affect attitudes about electability. Specifically, participants read about a senator who was seeking reelection and then indicated whether they thought the politician would be reelected. In Study 1, the senator had done either negative or positive actions, and these were described using imperfective (was VERB + ing) or perfective (VERB + ed) aspect. In Study 2, the senator had done a negative and a positive action, one of which was described using imperfective and the other with perfective aspect. Results revealed that imperfective descriptions of negative actions resulted in greater confidence that the candidate would not be reelected. Imperfective descriptions also led people to think that the candidate had done more negative action. When a negative and positive action were described together, grammar again influenced electability such that people reasoned in line with whatever action was highlighted by imperfective aspect. In both studies, subtle differences in grammar influenced whether people thought a political candidate would be reelected. These findings provide novel insights about how language can shape thought in the political realm.",Indiana University,"['University of California, Merced']"
"Miller, Patrick R.. ""The Emotional Citizen: Emotion as a Function of Political Sophistication"". Political Psychology 32, no. 4 (2011)","Scholars and popular commentators have often stereotyped emotion as a tool that citizens use to reason about politics in place of hard fact and critical thought. Indeed, critics have often seen emotion as a potentially dangerous force that can sway the unsophisticated masses to undesirable ends. This article challenges the view that emotion is an outgrowth of low sophistication, arguing that high sophisticates are more likely to experience emotion in reaction to politics and that emotions are more influential on the political behavior of high sophisticates. Drawing upon appraisal theory, this article develops a theory of how political engagement elicits emotionality about politics, and how emotion interacts with understanding and motivation to produce its greatest impact on the behavior of those citizens who are the most politically sophisticated. Behavioral effects are examined in the contexts of presidential voting behavior and Iraq War policy attitudes. Hypotheses are tested on pooled American National Election Studies (ANES) data and an original web-based survey of undergraduates.",Duke University,[]
"Castano, Emanuele, Bernhard Leidner, Alain Bonacossa, John Nikkah, Rachel Perrulli, Bettina Spencer, Nicholas Humphrey. ""Ideology, Fear of Death, and Death Anxiety"". Political Psychology 32, no. 4 (2011)","Ideological beliefs have long attracted the attention of social psychologists, who have investigated their genesis as well as their influence on a host of social phenomena. Conservatism, from the Motivated Social Cognition framework, stems from epistemic and existential needs of the individual, and notably the fear of death. However, Terror Management Theory proposes a view of conservatism and its contrary, liberalism, as equivalent cultural worldviews, equally fit to fulfill such needs. In the present contribution, results are presented from five studies, which test the contrasting hypotheses derived from these two perspectives. A new perspective is considered that accounts for these and previous findings.",New School for Social Research,"['University of Massachusetts, Amherst', 'Northwestern University', ""Saint Mary's College of Notre Dame"", 'London School of Economics']"
"Crew, Robert E., Jr., Christopher Lewis. ""Verbal Style, Gubernatorial Strategies, and Legislative Success"". Political Psychology 32, no. 4 (2011)","This article examines the relationship between a governor's verbal style and his success in achieving his legislative goals. We add a measure of verbal style developed by Roderick Hart to a traditional model used by scholars of political chief executives to explain legislative success. We apply this model to the State of the State addresses of six governors of Florida who served between 1966 and 2006. Our findings reflect the validity of the truism ""words matter."" Governors who use words and phrases that connote enthusiasm, activity, and realism are more successful in the legislative arena than those who do not.",Florida State University,['University of West Florida']
"Bloom, Pazit Ben-Nun, Lindsey Clark Levitan. ""We're Closer than I Thought: Social Network Heterogeneity, Morality, and Political Persuasion"". Political Psychology 32, no. 4 (2011)","Literature in the area of social networks indicates that increases in perceived social network attitudinal heterogeneity generate increased openness to attitude change. Recent evidence in the area of morality, however, shows that morally based attitudes are particularly resistant to persuasion and can result in the rejection of disagreeing others. Positing that considering morality would reduce network influence, an experiment varied moral cues presented along with a non-network persuasive message while holding the actual content constant. Results demonstrate that morality and network composition interact to predict persuasion, such that when people are not cued to consider morality increased network heterogeneity predicts increased persuasion, but when identical messages are presented in a way that invokes morality the impact of network heterogeneity disappears or even reverses marginally. This interactive effect was replicated in two very different political issues: gay adoption and nationalized healthcare. Implications for persuasion by morally motivated sources independent of the effects of specific moral arguments are discussed.",Tel Aviv University,['Stony Brook University']
"Pehrson, Samuel, Roberto Gonzalez, Rupert Brown. ""Indigenous Rights in Chile: National Identity and Majority Group Support for Multicultural Policies"". Political Psychology 32, no. 4 (2011)","We examine support for policies affecting indigenous ethnic minorities in Chile. Specifically, we examine the role of national group definitions that include the largest indigenous group—the Mapuche—in different ways. Based on questionnaire data from nonindigenous Chilean students (N = 338), we empirically distinguish iconic inclusion, whereby the Mapuche are seen as an important part of Chile's history and identity on the one hand, from egalitarian inclusion, which represents the Mapuche as citizens of equal importance to the nonindigenous majority on the other. Both forms of inclusion positively predict support for indigenous rights, independent of participants' political affiliation, strength of national identification, and social distance. A second study (N = 277) replicates this finding whilst controlling for right-wing authoritarianism, social dominance orientation, blind patriotism, and constructive patriotism. It also finds iconic inclusion to be predictive of a pro-Mapuche position regarding the unrest over the issue of ancestral land in 2009. We conclude that understanding how national identity affects attitudes about minority rights necessitates appreciating the importance of particular meanings of nationality, and not only the strength of identification.",Queen's University Belfast,"['Pontificia Universidad Catolica de Chile', 'University of Sussex']"
"Jackson, Melinda S.. ""Priming the Sleeping Giant: The Dynamics of Latino Political Identity and Vote Choice"". Political Psychology 32, no. 4 (2011)","Latinos are commonly referred to as the ""sleeping giant"" in American politics, and interest in the political potential of this fastest-growing American ethnic group has risen in recent years. This article examines the influence of Latino political identity on voting preferences in the 2006 California gubernatorial election. A survey experiment linking Latino identity to support for either the Democratic or Republican candidate finds that vote preferences were influenced by group cues and that this effect was strongest in increasing support for the Democratic candidate among Latino Republicans and independents. The influence of Latino political identity is modeled as a two-step process of social identification and group influence, both of which are found to interact with prior partisanship. These findings support a model of political identity that views identity as malleable and subject to contextual influences.",San Jose State University,[]
"Smith, Kevin B., Douglas R. Oxley, Matthew V. Hibbing, John R. Alford, John R. Hibbing. ""Linking Genetics and Political Attitudes: Reconceptualizing Political Ideology"". Political Psychology 32, no. 3 (2011)","In this paper, we trace the route by which genetics could ultimately connect to issue attitudes and suggest that central to this connection are chronic dispositional preferences for mass-scale social rules, order, and conduct— what we label political ideology. The need to resolve bedrock social dilemmas concerning such matters as leadership style, protection from outgroups, and the degree to which norms of conduct are malleable, is present in any large-scale social unit at any time. This universality is important in that it leaves open the possibility that genetics could influence stances on issues of the day. Here, we measure orientation to these bedrock principles in two ways — a survey of conscious, self-reported positions and an implicit association test (IAT) of latent orientations toward fixed or flexible rules of social conduct. In an initial test, both measures were predictive of stances on issues of the day as well as of ideological self-labeling, thereby suggesting that the heritability of specific issue attitudes could be the result of the heritability of general orientations toward bedrock principles of mass-scale group life.",University of Nebraska-Lincoln,"['University of Illinois, Urbana-Champaign', 'Rice University']"
"Boldero, Jennifer M., E. Tory Higgins. ""Regulatory Focus and Political Decision Making: When People Favor Reform Over the Status Quo"". Political Psychology 32, no. 3 (2011)","Two studies examined the impact of self-reported use of promotion-related (i. e., eagerness) and prevention-related (i. e., vigilance) strategies when making ""risky"" or ""conservative"" decisions about economic reform under good, average, or poor economic conditions. Consistent with regulatory focus theory (Higgins, 1997, 1998, 2000), in both studies strategic vigilance was associated with making a conservative choice, whereas strategic eagerness was associated with making a risky choice. In addition, along with perceptions of economic conditions, chronic strength of prevention focus (Study 1) or situationally induced prevention focus (Study 2) was associated with using strategic vigilance, whereas chronic strength of promotion focus (Study 1) or situationally induced promotion focus (Study 2) was associated with using strategic eagerness. Finally, regulatory focus and economic perceptions indirectly predicted economic reform decisions through their impact on strategy use. Our studies are the first to demonstrate that vigilant or eager strategy use is associated with ""conservative"" or ""risky"" political decisions.",University of Melbourne,"['PS. Tory Higgins', 'Columbia University']"
"Henry, P. J.. ""The Role of Stigma in Understanding Ethnicity Differences in Authoritarianism"". Political Psychology 32, no. 3 (2011)","Ethnic minorities often have shown higher mean levels of authoritarianism compared to Whites. However, no theoretical mechanism has been directly tested to explain these ethnicity differences. Using the stigma literature as a framework, two studies are presented that test a novel explanation for this difference, rooted in the devaluing that accompanies being a member of a stigmatized group in society. The results show that, in Study 1, ethnic minorities reported higher levels of authoritarianism in ways that could not be explained by traditional explanations of authoritarianism, including lower income, lower education, or lack of cognitive complexity. However, in Study 2, when participants were given the opportunity to affirm their sense of worth, ethnic minorities did not differ in their mean levels of authoritarianism compared to Whites. These findings are discussed in the context of understanding ethnic minority endorsement of authoritarianism in terms of selfregulatory processes that may be related to their stigmatized condition in society.",New York University- Abu Dhabi,[]
"Ridout, Travis N., Kathleen Searles. ""It's My Campaign I'll Cry if I Want to: How and When Campaigns Use Emotional Appeals"". Political Psychology 32, no. 3 (2011)","Recent research in the area of campaign advertising suggests that emotional appeals can influence political attitudes, electoral choices and decision-making processes. Yet is there any evidence that candidates use emotional appeals strategically during campaigns? Is there a pattern to their use? For instance, are fear appeals used primarily late in the campaign by trailing candidates in order to get voters to rethink their choices? And are enthusiasm appeals used more commonly early on in order to shore up a candidate's base? We use affective intelligence theory — and supplement it with the idea of a voter backlash — to generate expectations about when candidates use certain emotional appeals (namely, anger, fear, enthusiasm, and pride) and which types of candidates are most likely to do so. We then test these ideas using campaign advertising data from several U. S. Senate races from 2004. Our research thus provides a link between research on campaign decision making — here the decision to ""go emotional"" — and research focusing on the effects of emotional appeals on voters.",Washington State University,[]
"Sheets, Penelope, David S. Domke, Anthony G. Greenwald. ""God and Country: The Partisan Psychology of the Presidency, Religion, and Nation"". Political Psychology 32, no. 3 (2011)","Overt love of God and country have seemingly been prerequisites to be president in the United States in recent decades, if not always. Indeed, the 2008 presidential race was replete with campaign messages showcasing such perspectives — that Barack Obama and John McCain were religiously faithful and deeply patriotic. Scholarship demonstrates the potential political power of explicit appeals to America and Christianity; however, little research has examined (a) citizens* perceptions of candidates* ties to faith and nation and (b) how these impressions may be related to electoral attitudes and intended vote. We address this gap, measuring both explicit and implicit indicators of the Christian-ness and American-ness of Obama and McCain. We expected and found that both explicit and — in a final-entry regression position — implicit perceptions of these traits related to voters' overall candidate attitudes and intended vote choice and that they were connected significantly more strongly for our sample of self-described Republicans than Democrats. Results illuminate these partisan differences and raise questions about their implications for U. S. presidential politics in years to come.",University of Washington,[]
"Abell, Jackie, Clifford Stevenson. ""Defending the Faith(s)? Democracy and Hereditary Right in England"". Political Psychology 32, no. 3 (2011)","The persistence of traditional monarchies in modern societies, which are otherwise characterized by democratic and egalitarian values, remains a paradox in the social sciences. In part this is attributable to the lack of psychological investigation into the relationship between subject and sovereign, and in particular the ways in which the political and social values of the citizenry shape understandings of a hereditary monarch's right to represent a national community. Adopting the qualitative analysis methods of discursive psychology and grounded theory, the current study examines vernacular accounts of nationhood and monarchy in England in both formalized conversational interviews (n = 60) and impromptu street interviews (n = 56). Focusing on accounts of Prince Charles's recent proposal to change the role of the monarch, from ""Defender of the (Christian) Faith"" to ""Defender of Faiths, ""those in favor treated it as a positive step towards reflecting a diverse (religious) community, bringing the monarchy into line with current concerns of pluralism and upholding values of personal choice and individual rights. Participants who rejected the proposed change in title construed it as antithetical to these values in terms of reflecting personal stake and interest, an abuse of power, or an imposition on other faiths. In all accounts, the prime concern was in safeguarding the political and social values of the citizenry. In conclusion it is argued that the study of subjects' relationship to the monarch, its function and legitimacy, can provide an opportunity to examine how values can characterize a national community and facilitate national diversity.",Lancaster University,['University of Limerick']
"Mulligan, Kenneth. ""Partisan Ambivalence, Split-Ticket Voting, and Divided Government"". Political Psychology 32, no. 3 (2011)","Despite recent periods of unified party control of government in Washington, DC, divided government has been the norm in recent decades. Scholars agree that when both presidential and congressional candidates are on the ballot the driving force behind divided government at the national level is split-ticket voting. In this study, I present a new psychological model of split-ticket voting. I posit that ticket splitting is motivated by ambivalence over the two major political parties. I test this partisan ambivalence explanation on split-ticket votes between president and Congress nationally between 1988 and 2004 and voting for state executive offices in Ohio in 1998.1 find that partisan ambivalence predicts ticket splitting at both the national and state levels and does so about as well as some other explanations. The results of this study suggest that divided government occurs, in part, because voters are divided within themselves.",Southern Illinois University Carbondale,[]
"Hart, William, Victor C. Ottati, Nathaniel D. Krumdick. ""Physical Attractiveness and Candidate Evaluation: A Model of Correction"". Political Psychology 32, no. 2 (2011)","Voters typically evaluate an attractive candidate more favorably than an (otherwise equivalent) unattractive candidate. However, some voters ""correct"" for the biasing influence of physical appearance. This reduces, eliminates, or even reverses the physical attractiveness effect. Correction occurs when political experts evaluate a political candidate under nondistracting conditions. Under these ""high cognitive capacity ""conditions, voters primarily correct for physical unattractiveness. However, correction fails to occur when voters possess low levels of expertise or are distracted. Thus, in most circumstances, attractive candidates are evaluated more favorably than unattractive candidates. Two experiments provide support for this model of appearance-based candidate evaluation.",University of Alabama,['Loyola University Chicago']
"Schneider, Monica C., Angela L. Bos. ""An Exploration of the Content of Stereotypes of Black Politicians"". Political Psychology 32, no. 2 (2011)","Do voters have the same stereotypes of Black politicians that they have of Black people in general? We argue that common stereotypes of Blacks (e.g., lazy, violent) may not apply to perceptions of Black politicians. Instead, we hypothesize that Black politicians are a unique subtype of the larger group Blacks, different enough to warrant their own stereotypes. We take an inductive approach to understanding the stereotypes of Black politicians. Employing a classic psychology research design (Katz & Braly, 1933) in which respondents list traits for a target group, we find that there is little overlap of stereotype content between Black politicians and Blacks. Our results therefore indicate that Black politicians constitute a separate and unique subtype of Blacks. Our analysis explores similarities and differences between stereotypes of Black politicians and two other groups: Black professionals (another subtype of Blacks) and politicians. We discuss the implications of our findings for the relationship between stereotypes and voter decisions.",Miami University,['College of Wooster']
"Norris, Catherine J., Amanda G. Dumville, Dean P. Lacy. ""Affective Forecasting Errors in the 2008 Election: Underpredicting Happiness"". Political Psychology 32, no. 2 (2011)","Individuals tend to be very bad at predicting their emotional responses to future events, often overestimating both the intensity and duration of their responses, particularly to negative events. The authors studied affective forecasting errors in the 2008 election in a large sample of undergraduates at Dartmouth College. Replicating past research, McCain supporters overpredicted their negative affect in response to the (future) election of Barack Obama. Obama supporters, however, underpredicted their happiness in response to his victory. Results are discussed with reference to mechanisms proposed to underlie the impact bias, as well as the unique circumstances surrounding this historic election season.",Dartmouth College,[]
"Hopkins, Nick. ""Dual Identities and Their Recognition: Minority Group Members' Perspectives"". Political Psychology 32, no. 2 (2011)","Minorities may define themselves at a superordinate (e.g., national) level and also at a subgroup (minority) level. However, others' recognition of such dual identifications cannot be guaranteed. This paper investigates how members of a minority (Muslims in the UK) constructed their superordinate and subgroup identities ilackn such a way as to assert a commonality with British non-Muslims whilst asserting their religious subgroup's distinctiveness. Reporting qualitative data obtained through interviews (N = 28), the analysis explores how British Muslims negotiated concerns over commonality and distinctiveness through describing themselves as being British in a Muslim way. The implications of these self-definitions for the theorization of dual identities, their recognition, and intergroup relations are discussed.",University of Dundee,[]
